code,ts,open,high,low,close,pb,pa,nticks,vol,amt,vwap,mid_close
IF0000,2024-06-12 09:54:00,3535.0,3536.0,3534.8,3535.8,3535.4,3535.6,108,247.0,261973500.0,3535.404858299595,3535.5
IF0000,2024-06-12 09:55:00,3535.2,3535.8,3533.4,3533.4,3533.4,3533.6,110,227.0,240693180.0,3534.4079295154183,3533.5
IF0000,2024-06-12 09:56:00,3533.4,3536.4,3533.2,3534.2,3533.8,3534.2,109,223.0,236478180.0,3534.8008968609865,3534.0
IF0000,2024-06-12 09:57:00,3533.8,3534.0,3532.8,3533.4,3533.4,3533.8,105,177.0,187621920.0,3533.3694915254237,3533.6000000000004
IF0000,2024-06-12 09:58:00,3533.4,3534.6,3532.8,3533.0,3533.0,3533.2,110,134.0,142054260.0,3533.6880597014924,3533.1
IF0000,2024-06-12 09:59:00,3533.0,3535.4,3533.0,3535.2,3534.8,3535.4,106,153.0,162231660.0,3534.458823529412,3535.1000000000004
IF0000,2024-06-12 10:00:00,3535.2,3535.4,3533.6,3534.6,3534.4,3534.6,108,189.0,200403780.0,3534.458201058201,3534.5
IF0000,2024-06-12 10:01:00,3534.6,3537.4,3534.6,3537.4,3537.2,3537.6,117,348.0,369180300.0,3536.2097701149423,3537.3999999999996
IF0000,2024-06-12 10:02:00,3537.4,3537.6,3533.6,3533.8,3533.6,3533.8,113,268.0,284297880.0,3536.0432835820898,3533.7
IF0000,2024-06-12 10:03:00,3533.6,3534.0,3531.2,3533.6,3533.8,3534.0,114,320.0,339145620.0,3532.766875,3533.9
IF0000,2024-06-12 10:04:00,3533.6,3535.8,3533.6,3534.8,3534.4,3535.0,114,164.0,173906880.0,3534.692682926829,3534.7
IF0000,2024-06-12 10:05:00,3534.6,3534.8,3533.2,3533.2,3533.2,3533.6,101,118.0,125112600.0,3534.2542372881358,3533.3999999999996
