product,thr_ticks,month,active_mins,pct_profitable,mean_ret_active,mean_daily_pnl
IC02,1,2023-01,3223,0.49426000620539867,2.5232088175826883e-06,0.0005421534679379336
IC02,1,2023-02,4423,0.4903911372371693,1.972053908156265e-06,0.000436119721788758
IC02,1,2023-03,659,0.496206373292868,-1.6121881311726882e-06,-0.00035414399281426717
IC02,2,ALL,7759,0.49362031189586286,2.4158192830663595e-06,0.0004932721530871548
IC02,2,2023-01,2960,0.4962837837837838,3.1100218632262943e-06,0.0006137109810099887
IC02,2,2023-02,4176,0.4918582375478927,2.580875288428241e-06,0.0005388867602238168
IC02,2,2023-03,623,0.492776886035313,-1.988857307085527e-06,-0.0004130193674380944
IC02,3,ALL,7316,0.4957627118644068,2.6958490428638486e-06,0.0005190218841471557
IC02,3,2023-01,2756,0.49564586357039186,2.2808548288414053e-06,0.0004190690605524609
IC02,3,2023-02,3983,0.49485312578458446,2.6954555729770627e-06,0.0005367999773583821
IC02,3,2023-03,577,0.5025996533795494,4.680755878920906e-06,0.0009002653807124542
IC02,5,ALL,6227,0.49221133772282,1.859295983504074e-06,0.0003046798970863123
IC02,5,2023-01,2282,0.48729184925503943,-2.1139068555951006e-06,-0.000321595696297868
IC02,5,2023-02,3456,0.4965277777777778,5.682382184731238e-06,0.000981915641521558
IC02,5,2023-03,489,0.48466257668711654,-6.618693858247997e-06,-0.0010788470988944236
IC02,8,ALL,5030,0.4904572564612326,-3.514058797590079e-07,-4.651504145231078e-05
IC02,8,2023-01,1750,0.48114285714285715,-8.425332856287961e-06,-0.000982955499900262
IC02,8,2023-02,2889,0.4953271028037383,5.044730909304301e-06,0.0007287113798490064
IC02,8,2023-03,391,0.4961636828644501,-4.0855925157647195e-06,-0.0005324888912213351
IC02,10,ALL,4118,0.49150072850898496,-1.8582493565639038e-07,-2.0137554869289886e-05
IC02,10,2023-01,1359,0.48344370860927155,-7.748866070153666e-06,-0.0007020472659559222
IC02,10,2023-02,2454,0.49429502852485735,4.182710728963682e-06,0.0005132186064438438
IC02,10,2023-03,305,0.5049180327868853,-1.6357056543313377e-06,-0.000166296741523686
IC02,15,ALL,2592,0.4888117283950617,1.199081851609334e-07,8.179000419398405e-06
IC02,15,2023-01,769,0.4577373211963589,-2.049538002177696e-05,-0.0010507298157830987
IC02,15,2023-02,1631,0.5039852851011649,1.0993311649651874e-05,0.0008965045650291103
IC02,15,2023-03,192,0.484375,-9.67886483280514e-06,-0.0006194473492995289
IC02,20,ALL,1557,0.4797687861271676,-1.411917059018222e-06,-5.785144370766767e-05
IC02,20,2023-01,396,0.44696969696969696,-2.663274288266173e-05,-0.0007031044121022697
IC02,20,2023-02,1056,0.4943181818181818,1.0078009503433985e-05,0.0005321189017813144
IC02,20,2023-03,105,0.45714285714285713,-2.1849206809367754e-05,-0.0007647222383278714
IC03,1,ALL,8284,0.49987928536938675,4.96444854651395e-06,0.001082249783140041
IC03,1,2023-01,3235,0.49489953632148376,3.9752899941330085e-06,0.0008573375420680188
IC03,1,2023-02,4409,0.5057836244046269,8.964164246869707e-06,0.001976150008222427
IC03,1,2023-03,640,0.484375,-1.7589955525230094e-05,-0.0037525238453824197
IC03,2,ALL,7778,0.4983286191823091,5.154324184793321e-06,0.0010550087765611171
IC03,2,2023-01,2995,0.4938230383973289,4.712510626932206e-06,0.0009409312885107972
IC03,2,2023-02,4181,0.5034680698397512,7.78520812679478e-06,0.0016274977589064489
IC03,2,2023-03,602,0.4850498338870432,-1.0919586372871232e-05,-0.0021911969988228273
IC03,3,ALL,7342,0.4964587305911196,5.197301161399859e-06,0.0010041732928157308
IC03,3,2023-01,2808,0.49216524216524216,5.1069630471775905e-06,0.0009560234824316449
IC03,3,2023-02,3973,0.5013843443241883,7.345160656804738e-06,0.0014591161644742611
IC03,3,2023-03,561,0.483065953654189,-9.561658465173136e-06,-0.0017880301329873765
IC03,5,ALL,6188,0.5006464124111183,9.541538166583807e-06,0.0015537641624952787
IC03,5,2023-01,2275,0.4931868131868132,7.099694585827958e-06,0.001076787012183907
IC03,5,2023-02,3447,0.5062373078038874,1.236755314485931e-05,0.0021315477845165022
IC03,5,2023-03,466,0.4957081545064378,5.585349822573995e-07,8.675910057731606e-05
IC03,8,ALL,4959,0.49808429118773945,7.970123431989556e-06,0.001040101107874637
IC03,8,2023-01,1728,0.4913194444444444,9.177678647689488e-06,0.001057268580213829
IC03,8,2023-02,2842,0.5014074595355383,5.778709581730375e-06,0.0008211546315638862
IC03,8,2023-03,389,0.5038560411311054,1.8616248752573386e-05,0.0024139069215836826
IC03,10,ALL,4075,0.5038036809815951,1.1130822204431328e-05,0.0011936342232383595
IC03,10,2023-01,1350,0.49407407407407405,3.7060888812804706e-06,0.0003335479993152424
IC03,10,2023-02,2414,0.5070422535211268,1.2922953205410851e-05,0.0015598004518930896
IC03,10,2023-03,311,0.5209003215434084,2.944974744523226e-05,0.003052957151822411
IC03,15,ALL,2511,0.5025886101154918,1.3514959230117627e-05,0.0008930542796532989
IC03,15,2023-01,724,0.47099447513812154,-5.801427879169817e-06,-0.0002800155856345965
IC03,15,2023-02,1599,0.5190744215134458,2.3962685926099067e-05,0.0019158167397916204
IC03,15,2023-03,188,0.48404255319148937,-9.576509813196888e-07,-6.0012794829367166e-05
IC03,20,ALL,1476,0.49525745257452575,8.093167205466469e-07,3.14355652507066e-05
IC03,20,2023-01,391,0.4424552429667519,-2.9419998614584583e-05,-0.0007668812972201714
IC03,20,2023-02,985,0.5187817258883248,1.4410770061807954e-05,0.0007097304255440417
IC03,20,2023-03,100,0.47,-1.4968375730514128e-05,-0.0004989458576838043
IC04,1,ALL,8280,0.4934782608695652,-1.5799041386962345e-06,-0.000344252796536969
