product,thr_ticks,month,bucket,active,hit_rate,mean_ret,total
IC0000,20,2023-01,09:30,99,0.47474747474747475,5.543500233631731e-05,0.005488065231295414
IC0000,20,2023-01,10:00,56,0.39285714285714285,-2.9379488379309227e-05,-0.0016452513492413168
IC0000,20,2023-01,10:30,43,0.4418604651162791,3.0895759460735675e-05,0.0013285176568116341
IC0000,20,2023-01,11:00,51,0.49019607843137253,-6.275192801407767e-06,-0.0003200348328717961
IC0000,20,2023-01,13:00,50,0.48,-5.291507683929275e-05,-0.0026457538419646376
IC0000,20,2023-01,13:30,29,0.3793103448275862,-0.0001138493078652842,-0.0033016299280932415
IC0000,20,2023-01,14:00,32,0.375,-8.819153429207721e-05,-0.0028221290973464708
IC0000,20,2023-01,14:30,24,0.2916666666666667,-0.00021402754401790106,-0.0051366610564296256
IC0000,20,2023-02,09:30,217,0.5391705069124424,0.00012042766742048013,0.02613280383024419
IC0000,20,2023-02,10:00,153,0.46405228758169936,-1.0999236707013385e-05,-0.0016828832161730478
IC0000,20,2023-02,10:30,126,0.5079365079365079,-3.8244565672157595e-05,-0.004818815274691857
IC0000,20,2023-02,11:00,110,0.5181818181818182,5.167483651571684e-05,0.005684232016728852
IC0000,20,2023-02,13:00,108,0.6111111111111112,0.00010411532930458596,0.011244455564895284
IC0000,20,2023-02,13:30,126,0.46825396825396826,-5.018990057447685e-05,-0.006323927472384083
IC0000,20,2023-02,14:00,125,0.48,-2.4504777679344337e-05,-0.003063097209918042
IC0000,20,2023-02,14:30,98,0.5,2.8221688583038136e-05,0.0027657254811377374
IC0000,20,2023-03,09:30,18,0.4444444444444444,-6.647926869056563e-05,-0.0011966268364301813
IC0000,20,2023-03,10:00,21,0.47619047619047616,-2.829072158934343e-05,-0.0005941051533762121
IC0000,20,2023-03,10:30,12,0.8333333333333334,0.0002788723499292008,0.0033464681991504097
IC0000,20,2023-03,11:00,15,0.4666666666666667,-0.0001399961267371556,-0.002099941901057334
IC0000,20,2023-03,13:00,6,0.6666666666666666,8.881356527049948e-05,0.0005328813916229969
IC0000,20,2023-03,13:30,10,0.6,0.00019677348847024767,0.0019677348847024767
