code,year,n,k_ticks,k_pts,s_sum,s_ss,s_n,hits
IH0000,2021,5,0,0.0,47831.94999997561,3138008.1675000205,5358496,2292252
IH0000,2021,5,2,0.4,4883.449999957392,1710856.1825000092,2094561,1017981
IH0000,2021,5,4,0.8,-14021.95000001335,803025.5975000049,737287,372372
IH0000,2021,5,6,1.2,-14617.400000004875,359054.2900000019,247567,130763
IH0000,2021,5,8,1.6,-9600.750000001814,172655.43250000037,92455,50577
IH0000,2021,5,13,2.6,-1682.200000000175,32235.08000000012,9314,5243
IH0000,2021,5,20,4.0,-180.79999999999882,4840.76000000002,593,342
IH0000,2021,5,30,6.0,24.90000000000373,778.9300000000123,41,24
IH0000,2021,10,0,0.0,54197.699999978024,3212513.2600000207,5356066,2364764
IH0000,2021,10,2,0.4,25473.249999957465,2150332.1975000133,2851795,1362489
IH0000,2021,10,4,0.8,-2999.450000018897,1286560.097500007,1369798,671661
IH0000,2021,10,6,1.2,-10992.050000009294,723534.5225000032,603529,304092
IH0000,2021,10,8,1.6,-9674.35000000481,418254.09250000154,281321,144342
IH0000,2021,10,13,2.6,-3400.5500000007264,111426.64250000041,46258,24318
IH0000,2021,10,20,4.0,-226.70000000006576,19967.050000000083,4814,2483
IH0000,2021,10,30,6.0,-84.40000000001328,2747.420000000055,349,184
IH0000,2021,20,0,0.0,61737.79999998289,3251484.9400000237,5351206,2397688
IH0000,2021,20,2,0.4,45256.899999963374,2492083.4600000167,3526482,1656869
IH0000,2021,20,4,0.8,21365.299999978273,1765427.7600000089,2144459,1020322
IH0000,2021,20,6,1.2,4240.849999986533,1183631.8275000069,1195115,578689
IH0000,2021,20,8,1.6,-3371.750000008851,803992.2875000039,683269,335396
IH0000,2021,20,13,2.6,-3998.5500000021084,306221.5825000009,175669,87954
IH0000,2021,20,20,4.0,-1974.950000000114,82674.20250000022,30266,15484
IH0000,2021,20,30,6.0,-439.20000000000664,15730.24000000005,3531,1814
IH0000,2021,30,0,0.0,51634.94999998547,3259285.4575000247,5346346,2410444
IH0000,2021,30,2,0.4,43630.349999968064,2642206.9175000144,3853359,1800204
IH0000,2021,30,4,0.8,25236.099999979033,2010909.2350000124,2605140,1227226
IH0000,2021,30,6,1.2,8487.299999984862,1462008.440000006,1632600,779638
IH0000,2021,30,8,1.6,111.84999998872854,1072040.5175000054,1038755,501399
IH0000,2021,30,13,2.6,-4369.700000003666,485576.7900000025,333193,164086
IH0000,2021,30,20,4.0,-2445.0500000005673,160898.81250000038,73025,36691
IH0000,2021,30,30,6.0,-738.8000000000316,36900.660000000134,10966,5477
IH0000,2022,1,0,0.0,4448.14999997783,1674535.0775000148,5163968,1785609
IH0000,2022,1,2,0.4,-54993.40000001913,374588.51500000403,514034,285017
IH0000,2022,1,4,0.8,-16674.70000000156,85059.96500000088,57747,36053
IH0000,2022,1,6,1.2,-5178.600000000235,25926.315000000315,10095,6802
IH0000,2022,1,8,1.6,-2305.000000000068,12459.990000000178,2942,2128
IH0000,2022,1,13,2.6,-522.7000000000112,4474.035000000033,384,296
IH0000,2022,1,20,4.0,-92.95000000000027,746.0824999999952,24,23
IH0000,2022,1,30,6.0,-37.749999999998636,449.58249999999026,6,6
IH0000,2022,2,0,0.0,60165.29999997714,1787428.4000000146,5163484,1902466
IH0000,2022,2,2,0.4,-10778.950000027662,531759.3125000027,796324,397688
IH0000,2022,2,4,0.8,-7285.250000002941,131249.46250000087,110039,58583
IH0000,2022,2,6,1.2,-3497.0500000004627,39940.802500000325,18712,10841
IH0000,2022,2,8,1.6,-1664.9000000000988,17718.13000000015,4986,3067
IH0000,2022,2,13,2.6,-414.6500000000042,4844.857499999977,524,350
IH0000,2022,2,20,4.0,-92.14999999999918,1315.8624999999995,54,40
IH0000,2022,2,30,6.0,-57.04999999999882,735.6724999999927,8,8
IH0000,2022,3,0,0.0,73929.69999997634,1870898.4100000146,5163000,2014672
IH0000,2022,3,2,0.4,10829.449999965344,687214.3375000029,1106091,534968
IH0000,2022,3,4,0.8,-1291.5500000052289,207800.68250000066,201671,101715
IH0000,2022,3,6,1.2,-1909.350000001008,68997.28250000051,38682,20552
IH0000,2022,3,8,1.6,-1157.6000000002578,29898.270000000222,10255,5673
IH0000,2022,3,13,2.6,-352.2500000000214,7596.357500000016,912,539
IH0000,2022,3,20,4.0,-103.24999999999909,2741.4924999999826,98,69
IH0000,2022,3,30,6.0,-53.14999999999918,997.1624999999849,14,11
IH0000,2022,5,0,0.0,80778.69999997632,1936500.6200000162,5162032,2108509
IH0000,2022,5,2,0.4,31653.999999959262,905528.1500000043,1596765,756925
IH0000,2022,5,4,0.8,4982.1999999904,356107.705000001,421517,206713
