code,J,k,bucket,mean_dy,n,nrows
IH0000,60,240,neg5,0.27058762,1578594,31148936
IH0000,60,240,pos5,-0.19609666,1558716,31148936
IH0000,60,240,pos1,-0.17805251,311571,31148936
IH0000,60,240,pos0.1,-0.72130585,32193,31148936
IH0000,60,600,neg0.1,-0.3414885,30124,29954497
IH0000,60,600,neg1,0.39565703,305368,29954497
IH0000,60,600,neg5,0.18660606,1522823,29954497
IH0000,60,600,pos5,-0.1935581,1580838,29954497
IH0000,60,600,pos1,-0.07210246,308977,29954497
IH0000,60,600,pos0.1,-1.8094845,30302,29954497
IH0000,120,1,neg0.1,-0.07617047,31889,31711444
IH0000,120,1,neg1,-0.057064593,317605,31711444
IH0000,120,1,neg5,-0.04435024,1592528,31711444
