code,rank,q,oir,n_total,cum1,cum5,cum10,cum20
IC0000,299963,0.05126282754151434,-0.6666667,5851472,-62302.0,-90133.0,-106848.0,-91299.0
IC0000,301427,0.05151302099710979,-0.64705884,5851472,-62514.0,-90699.0,-107621.0,-93048.0
IC0000,302890,0.05176304355553611,-0.6363636,5851472,-62675.0,-90401.0,-107067.0,-92105.0
IC0000,304353,0.05201306611396243,-0.6363636,5851472,-63193.0,-90591.0,-107093.0,-92256.0
IC0000,305816,0.05226308867238876,-0.6363636,5851472,-63380.0,-90629.0,-107120.0,-92353.0
IC0000,307280,0.05251328212798421,-0.6363636,5851472,-63601.0,-90983.0,-107396.0,-92091.0
IC0000,308743,0.05276330468641053,-0.6363636,5851472,-63968.0,-91232.0,-108006.0,-92144.0
IC0000,310206,0.05301332724483686,-0.625,5851472,-64018.0,-91534.0,-108233.0,-91528.0
IC0000,311669,0.05326334980326318,-0.6,5851472,-64252.0,-91714.0,-108475.0,-92028.0
IC0000,313132,0.0535133723616895,-0.6,5851472,-64386.0,-92179.0,-109018.0,-92897.0
IC0000,314596,0.05376356581728495,-0.6,5851472,-64726.0,-92743.0,-109660.0,-93222.0
IC0000,316059,0.054013588375711276,-0.6,5851472,-65137.0,-93826.0,-110721.0,-94155.0
IC0000,317522,0.0542636109341376,-0.6,5851472,-65542.0,-94670.0,-111697.0,-94902.0
IC0000,318985,0.05451363349256392,-0.6,5851472,-65758.0,-95594.0,-113203.0,-97306.0
IC0000,320449,0.05476382694815937,-0.6,5851472,-66022.0,-96536.0,-114407.0,-99160.0
IC0000,321912,0.055013849506585694,-0.6,5851472,-66536.0,-97546.0,-115547.0,-99242.0
IC0000,323375,0.055263872065012015,-0.6,5851472,-66887.0,-97740.0,-115526.0,-98989.0
IC0000,324838,0.055513894623438344,-0.6,5851472,-67184.0,-98576.0,-116404.0,-100303.0
IC0000,326302,0.05576408807903379,-0.6,5851472,-67760.0,-99463.0,-117326.0,-101512.0
IC0000,327765,0.05601411063746011,-0.6,5851472,-68406.0,-100927.0,-119086.0,-103073.0
IC0000,329228,0.05626413319588644,-0.6,5851472,-69014.0,-101624.0,-119984.0,-102935.0
IC0000,330691,0.05651415575431276,-0.6,5851472,-69629.0,-102198.0,-120277.0,-103261.0
IC0000,332155,0.05676434920990821,-0.6,5851472,-70106.0,-102818.0,-120394.0,-103573.0
IC0000,333618,0.05701437176833453,-0.6,5851472,-70461.0,-103142.0,-120997.0,-103525.0
IC0000,335081,0.05726439432676086,-0.6,5851472,-70664.0,-103579.0,-121712.0,-104194.0
IC0000,336544,0.05751441688518718,-0.6,5851472,-70918.0,-103921.0,-122279.0,-104498.0
IC0000,338007,0.05776443944361351,-0.6,5851472,-71345.0,-104363.0,-122702.0,-104820.0
IC0000,339471,0.058014632899208954,-0.6,5851472,-71292.0,-104107.0,-122522.0,-104396.0
IC0000,340934,0.058264655457635275,-0.6,5851472,-71403.0,-104366.0,-122608.0,-104703.0
IC0000,342397,0.0585146780160616,-0.6,5851472,-71562.0,-104475.0,-122751.0,-104869.0
IC0000,343860,0.058764700574487926,-0.6,5851472,-71771.0,-104790.0,-123084.0,-105464.0
IC0000,345324,0.05901489403008337,-0.6,5851472,-72031.0,-105640.0,-124386.0,-106899.0
IC0000,346787,0.05926491658850969,-0.6,5851472,-72249.0,-106318.0,-124867.0,-107039.0
IC0000,348250,0.05951493914693602,-0.6,5851472,-72563.0,-107128.0,-125970.0,-108237.0
IC0000,349713,0.05976496170536234,-0.6,5851472,-72954.0,-108092.0,-127477.0,-110386.0
IC0000,351177,0.06001515516095779,-0.6,5851472,-73201.0,-108858.0,-128435.0,-111778.0
IC0000,352640,0.06026517771938411,-0.6,5851472,-73382.0,-109319.0,-129124.0,-112757.0
IC0000,354103,0.06051520027781044,-0.6,5851472,-73534.0,-109527.0,-129686.0,-113507.0
IC0000,355566,0.06076522283623676,-0.6,5851472,-73718.0,-109913.0,-130164.0,-114219.0
IC0000,357029,0.06101524539466309,-0.6,5851472,-73999.0,-110566.0,-130740.0,-114797.0
IC0000,358493,0.061265438850258536,-0.6,5851472,-74294.0,-111174.0,-131711.0,-116091.0
IC0000,359956,0.06151546140868486,-0.6,5851472,-74425.0,-111667.0,-132339.0,-116829.0
IC0000,361419,0.06176548396711118,-0.6,5851472,-74674.0,-112627.0,-133371.0,-117989.0
IC0000,362882,0.06201550652553751,-0.6,5851472,-74886.0,-113279.0,-133848.0,-117937.0
IC0000,364346,0.06226569998113295,-0.6,5851472,-75015.0,-113638.0,-134297.0,-117878.0
IC0000,365809,0.06251572253955928,-0.6,5851472,-75081.0,-114100.0,-135101.0,-118525.0
IC0000,367272,0.0627657450979856,-0.6,5851472,-75118.0,-114729.0,-135905.0,-119178.0
IC0000,368735,0.06301576765641193,-0.6,5851472,-75280.0,-115251.0,-136734.0,-120056.0
IC0000,370199,0.06326596111200737,-0.6,5851472,-75265.0,-115490.0,-137137.0,-120346.0
IC0000,371662,0.06351598367043369,-0.6,5851472,-75336.0,-115619.0,-137311.0,-120451.0
IC0000,373125,0.06376600622886001,-0.6,5851472,-75410.0,-116001.0,-137681.0,-120969.0
IC0000,374588,0.06401602878728635,-0.6,5851472,-75444.0,-116175.0,-138161.0,-121444.0
IC0000,376052,0.0642662222428818,-0.6,5851472,-75614.0,-116714.0,-139095.0,-122938.0
IC0000,377515,0.06451624480130812,-0.6,5851472,-75704.0,-116886.0,-139448.0,-123580.0
IC0000,378978,0.06476626735973444,-0.6,5851472,-75751.0,-116922.0,-139438.0,-123455.0
IC0000,380441,0.06501628991816076,-0.6,5851472,-75857.0,-117392.0,-139806.0,-123634.0
IC0000,381904,0.06526631247658708,-0.6,5851472,-75873.0,-117477.0,-139794.0,-123244.0
IC0000,383368,0.06551650593218253,-0.6,5851472,-75929.0,-117849.0,-140389.0,-123854.0
IC0000,384831,0.06576652849060886,-0.6,5851472,-76021.0,-118311.0,-141127.0,-124867.0
IC0000,386294,0.06601655104903519,-0.6,5851472,-76005.0,-118666.0,-141529.0,-124988.0
IC0000,387757,0.0662665736074615,-0.6,5851472,-76178.0,-119207.0,-142169.0,-125492.0
IC0000,389221,0.06651676706305695,-0.6,5851472,-76339.0,-119559.0,-142553.0,-125837.0
IC0000,390684,0.06676678962148327,-0.6,5851472,-76660.0,-120253.0,-143300.0,-126751.0
IC0000,392147,0.0670168121799096,-0.6,5851472,-76914.0,-121062.0,-144227.0,-127907.0
IC0000,393610,0.06726683473833593,-0.6,5851472,-77057.0,-121569.0,-144905.0,-128471.0
