code,year,month,S,sum,sumsq,n
IH0000,2022,7,30,-47.89999999998099,14951.689999999806,4805
IH0000,2022,7,40,-212.599999999974,15220.279999999892,4805
IH0000,2022,7,50,-191.50000000000682,15412.990000000029,4805
IM0000,2022,7,0,222.800000000012,36655.35999999949,1397
IM0000,2022,7,10,52.50000000001728,36005.96999999943,1397
IM0000,2022,7,20,160.3000000000211,33505.33000000003,1397
IM0000,2022,7,30,83.7000000000071,32658.069999999883,1397
IM0000,2022,7,40,186.40000000000146,34121.64000000003,1397
IM0000,2022,7,50,206.800000000012,35622.199999999866,1397
IC0000,2022,8,0,-429.900000000046,99154.36999999789,5338
IC0000,2022,8,10,-589.3000000000293,99374.48999999756,5338
IC0000,2022,8,20,36.4000000000342,93731.67999999816,5338
IC0000,2022,8,30,186.6999999999416,93667.38999999833,5338
IC0000,2022,8,40,361.09999999999127,96232.74999999763,5338
IC0000,2022,8,50,79.80000000002929,100044.37999999874,5338
IF0000,2022,8,0,-270.00000000003183,28906.479999999814,5264
IF0000,2022,8,10,-235.80000000003201,28594.15999999979,5264
IF0000,2022,8,20,-13.799999999991087,28145.179999999553,5264
IF0000,2022,8,30,156.59999999996944,28129.399999999747,5264
IF0000,2022,8,40,242.29999999993152,28727.60999999953,5264
IF0000,2022,8,50,101.79999999996107,28983.05999999964,5264
IH0000,2022,8,0,-174.90000000000737,11507.909999999893,5198
IH0000,2022,8,10,-132.0999999999749,11212.190000000071,5198
IH0000,2022,8,20,-63.599999999982174,11191.159999999973,5198
IH0000,2022,8,30,41.50000000000864,10898.649999999952,5198
IH0000,2022,8,40,118.20000000001482,11406.239999999929,5198
IH0000,2022,8,50,81.29999999998427,11329.250000000098,5198
IM0000,2022,8,0,2.199999999990723,165442.13999999815,5338
IM0000,2022,8,10,-204.80000000003201,155371.21999999808,5338
IM0000,2022,8,20,228.90000000003874,146101.9299999974,5338
IM0000,2022,8,30,301.0999999999822,145214.5899999977,5338
IM0000,2022,8,40,408.1000000000504,151309.48999999728,5338
IM0000,2022,8,50,96.89999999999509,160275.82999999847,5338
IC0000,2022,9,0,-152.60000000008404,92743.01999999913,4865
IC0000,2022,9,10,174.29999999998472,89604.26999999885,4865
IC0000,2022,9,20,306.2000000000153,84766.73999999865,4865
IC0000,2022,9,30,210.4999999999991,87596.60999999884,4865
IC0000,2022,9,40,-10.800000000027467,88533.57999999895,4865
IC0000,2022,9,50,-336.60000000000946,90899.33999999861,4865
IF0000,2022,9,0,48.999999999992724,23038.899999999718,4822
IF0000,2022,9,10,83.50000000001,21904.10999999984,4822
IF0000,2022,9,20,159.1999999999839,21782.119999999642,4822
IF0000,2022,9,30,146.1999999999989,22678.41999999991,4822
IF0000,2022,9,40,91.70000000002392,22821.010000000017,4822
IF0000,2022,9,50,7.700000000033015,23406.86999999982,4822
IH0000,2022,9,0,-56.00000000001728,10011.080000000104,4765
IH0000,2022,9,10,68.80000000000746,9635.120000000094,4765
IH0000,2022,9,20,6.89999999998372,9752.469999999936,4765
IH0000,2022,9,30,11.899999999995089,9965.130000000041,4765
IH0000,2022,9,40,-34.400000000065575,9953.000000000073,4765
IH0000,2022,9,50,-44.199999999997544,10338.799999999947,4765
IM0000,2022,9,0,-820.5999999999731,155891.13999999847,4861
IM0000,2022,9,10,-429.5000000000264,140789.54999999888,4861
IM0000,2022,9,20,261.699999999988,134543.0099999984,4861
IM0000,2022,9,30,289.2999999999611,141145.6699999982,4861
IM0000,2022,9,40,51.299999999903775,146037.10999999946,4861
IM0000,2022,9,50,-325.70000000003074,149153.2299999983,4861
IC0000,2022,10,0,-575.50000000004,114178.26999999957,3712
IC0000,2022,10,10,29.699999999987085,105381.08999999883,3712
IC0000,2022,10,20,89.59999999999036,104921.81999999918,3712
IC0000,2022,10,30,140.3999999999778,111757.7599999989,3712
IC0000,2022,10,40,556.8000000000238,115829.35999999872,3712
IC0000,2022,10,50,696.5999999999649,118012.01999999862,3712
IF0000,2022,10,0,-214.00000000001046,33656.29999999971,3686
IF0000,2022,10,10,-333.69999999998845,31813.66999999969,3686
IF0000,2022,10,20,-247.69999999997617,31074.22999999975,3686
IF0000,2022,10,30,-196.40000000000737,33655.9399999997,3686
IF0000,2022,10,40,-102.60000000001264,34339.880000000005,3686
IF0000,2022,10,50,20.000000000031832,35307.35999999969,3686
IH0000,2022,10,0,-50.39999999998372,16282.799999999801,3685
IH0000,2022,10,10,-121.00000000002319,15465.43999999997,3685
IH0000,2022,10,20,-87.70000000001619,15363.65000000008,3685
IH0000,2022,10,30,-118.90000000001783,16764.44999999999,3685
IH0000,2022,10,40,-65.1000000000231,17006.68999999993,3685
IH0000,2022,10,50,-24.100000000002183,17398.349999999813,3685
IM0000,2022,10,0,-860.9000000000506,174517.0099999995,3724
IM0000,2022,10,10,-412.40000000001874,156062.6599999996,3724
IM0000,2022,10,20,122.80000000002565,153840.99999999857,3724
