code,year,month,sum_K20,n_K20,sum_K42,n_K42,sum_K60,n_K60,sum_K90,n_K90,sum_close,n_close
IM0000,2023,4,39.30000000001564,4432,519.699999999988,4312,590.99999999999,3733,115.20000000002346,1322,744.7000000000162,4433
IC0000,2023,5,183.59999999999673,4661,486.4000000000642,4651,483.5000000000591,4548,100.60000000000309,3327,407.1999999999989,4661
IF0000,2023,5,99.69999999997935,4617,288.9999999999777,4605,196.50000000001137,4456,19.900000000010095,3232,295.199999999983,4617
IH0000,2023,5,31.59999999999809,4580,82.80000000000427,4499,59.70000000002983,4058,-87.39999999998145,2269,105.10000000002947,4584
IM0000,2023,5,151.7999999999529,4649,458.59999999991123,4626,369.99999999992906,4432,-79.20000000002528,2908,288.89999999989686,4650
IC0000,2023,6,206.30000000003838,4642,462.40000000005057,4629,292.70000000004893,4417,63.200000000058935,2599,188.90000000002146,4642
IF0000,2023,6,38.599999999988995,4600,71.60000000001355,4584,-27.79999999998472,4361,-164.39999999999736,2716,-29.800000000005184,4600
IH0000,2023,6,-1.5999999999762622,4535,40.10000000000855,4493,-6.399999999994634,4221,-136.79999999998472,2411,9.699999999989814,4535
IM0000,2023,6,127.3999999999196,4655,390.99999999996544,4608,257.09999999996217,4292,-72.80000000002474,2282,-12.899999999988722,4655
IC0000,2023,8,374.09999999998126,4431,472.3000000000029,4430,304.5999999999931,4359,165.3999999999478,3352,449.699999999968,4431
IF0000,2023,8,397.40000000001373,4401,575.100000000004,4398,534.2999999999861,4354,230.90000000001146,3602,479.9000000000019,4401
IH0000,2023,8,283.20000000002346,4368,435.90000000000055,4341,405.80000000002656,4145,169.10000000001446,2670,453.2000000000148,4369
IM0000,2023,8,500.30000000002565,4439,695.9000000000224,4422,419.8000000000493,4274,91.70000000004075,3161,393.7000000000371,4439
IC0000,2023,9,217.7999999999838,4650,259.2000000000389,4579,174.60000000004675,4210,-193.39999999997872,2519,97.00000000001364,4651
IF0000,2023,9,183.50000000002365,4604,74.80000000001519,4561,-25.799999999986085,4195,-172.49999999999545,2743,-63.19999999995571,4604
