code,year,month,F,X,sum,sumsq,n
IM0000,2025,9,60,120,-130.39999999991232,247928.33999999752,5140
IM0000,2025,9,60,140,-205.09999999991305,313694.08999999624,5115
IM0000,2025,9,60,160,-746.599999999914,360941.7399999984,5115
IM0000,2025,9,60,180,-638.7999999999074,382155.83999999857,5115
IM0000,2025,9,60,200,-531.3999999999305,406447.9599999975,5111
IM0000,2025,9,60,220,-266.99999999994634,435327.0399999971,4985
IM0000,2025,9,60,240,0.0,0.0,0
IM0000,2025,9,70,60,-206.10000000002583,186509.22999999896,5154
IM0000,2025,9,70,80,-32.70000000001437,161720.28999999838,5154
IM0000,2025,9,70,100,53.399999999985084,193393.61999999842,5154
IM0000,2025,9,70,110,-94.20000000003711,208560.47999999905,5154
IM0000,2025,9,70,120,-275.4000000000069,235616.65999999826,5140
IM0000,2025,9,70,140,-348.5000000000073,296307.2899999994,5115
IM0000,2025,9,70,160,-890.0000000000082,343065.7800000003,5115
IM0000,2025,9,70,180,-782.2000000000016,363358.2400000008,5115
IM0000,2025,9,70,200,-674.6000000000258,387348.2799999982,5111
IM0000,2025,9,70,220,-430.1999999999998,415693.55999999883,4985
IM0000,2025,9,70,240,0.0,0.0,0
IC0000,2025,10,30,60,38.40000000001055,78576.39999999985,3984
IC0000,2025,10,30,80,-135.80000000001928,100798.81999999886,3984
IC0000,2025,10,30,100,-128.90000000000418,121847.02999999859,3983
IC0000,2025,10,30,110,32.69999999998163,132445.66999999943,3982
IC0000,2025,10,30,120,75.39999999999782,150179.33999999828,3962
IC0000,2025,10,30,140,-70.99999999997544,180890.0399999991,3952
IC0000,2025,10,30,160,-122.89999999998872,204117.76999999819,3949
IC0000,2025,10,30,180,-203.49999999996817,224878.16999999835,3935
IC0000,2025,10,30,200,-99.60000000003947,238476.59999999966,3834
IC0000,2025,10,30,220,461.5000000000182,239037.9099999992,3204
IC0000,2025,10,30,240,0.0,0.0,0
IC0000,2025,10,40,60,454.19999999988795,81677.27999999958,3984
IC0000,2025,10,40,80,279.9999999998581,102812.37999999928,3984
IC0000,2025,10,40,100,288.8999999998732,122865.34999999945,3983
IC0000,2025,10,40,110,451.2999999998583,132808.42999999961,3982
IC0000,2025,10,40,120,481.99999999986903,150022.8199999991,3962
IC0000,2025,10,40,140,339.99999999989177,180494.03999999946,3952
IC0000,2025,10,40,160,287.49999999988177,202983.2899999984,3949
IC0000,2025,10,40,180,210.4999999999045,223974.1300000007,3935
IC0000,2025,10,40,200,271.1999999998452,238925.0800000002,3834
IC0000,2025,10,40,220,771.8999999999269,241860.5099999997,3204
IC0000,2025,10,40,240,0.0,0.0,0
IC0000,2025,10,50,60,104.9999999999709,81835.31999999934,3984
IC0000,2025,10,50,80,-69.20000000005894,100612.85999999913,3984
IC0000,2025,10,50,100,-59.30000000004202,119298.26999999997,3983
IC0000,2025,10,50,110,103.2999999999438,129083.66999999945,3982
IC0000,2025,10,50,120,143.19999999995161,145275.09999999916,3962
IC0000,2025,10,50,140,11.799999999972897,178177.03999999864,3952
IC0000,2025,10,50,160,-41.50000000004002,202134.1699999994,3949
IC0000,2025,10,50,180,-123.90000000001874,222902.61000000016,3935
IC0000,2025,10,50,200,-80.00000000009004,236875.91999999966,3834
IC0000,2025,10,50,220,352.2999999999811,241339.07000000018,3204
IC0000,2025,10,50,240,0.0,0.0,0
IC0000,2025,10,60,60,205.600000000004,80644.6399999992,3984
IC0000,2025,10,60,80,31.39999999997417,98128.98000000005,3984
IC0000,2025,10,60,100,41.499999999989996,117780.4299999997,3983
IC0000,2025,10,60,110,205.69999999997435,126647.54999999894,3982
IC0000,2025,10,60,120,247.3999999999869,141956.2999999998,3962
IC0000,2025,10,60,140,113.80000000000564,176385.63999999923,3952
IC0000,2025,10,60,160,59.299999999991996,202175.04999999862,3949
IC0000,2025,10,60,180,-18.699999999987085,222763.00999999847,3935
IC0000,2025,10,60,200,15.99999999994452,238549.11999999793,3834
IC0000,2025,10,60,220,402.29999999999745,242415.10999999888,3204
IC0000,2025,10,60,240,0.0,0.0,0
IC0000,2025,10,70,60,552.7999999999374,116168.63999999841,3984
IC0000,2025,10,70,80,378.5999999999076,96264.09999999804,3984
IC0000,2025,10,70,100,391.09999999992306,112500.18999999794,3983
IC0000,2025,10,70,110,556.2999999999074,120978.86999999771,3982
IC0000,2025,10,70,120,611.1999999999189,134615.1399999981,3962
IC0000,2025,10,70,140,487.79999999994016,168910.47999999783,3952
IC0000,2025,10,70,160,435.8999999999287,195892.5299999984,3949
IC0000,2025,10,70,180,357.8999999999478,218285.16999999838,3935
IC0000,2025,10,70,200,343.7999999998674,235145.9999999979,3834
IC0000,2025,10,70,220,557.49999999994,237121.62999999788,3204
IC0000,2025,10,70,240,0.0,0.0,0
IF0000,2025,10,30,60,98.90000000003238,19135.04999999996,3968
IF0000,2025,10,30,80,5.100000000019463,24191.109999999753,3968
IF0000,2025,10,30,100,58.3000000000693,28694.289999999637,3967
IF0000,2025,10,30,110,71.20000000004347,31933.819999999767,3964
IF0000,2025,10,30,120,-37.400000000002365,35874.559999999605,3943
IF0000,2025,10,30,140,-154.59999999998126,43182.33999999927,3937
IF0000,2025,10,30,160,-91.09999999998217,48764.6499999993,3937
IF0000,2025,10,30,180,-136.49999999994088,52761.30999999957,3915
IF0000,2025,10,30,200,-122.8999999999478,55710.44999999959,3730
IF0000,2025,10,30,220,142.60000000002947,51668.09999999991,2837
