win,avg_spread,n,code,year,month
600,0.7034043615781931,24028,IF0000,2020,10
615,0.7083487105630599,22219,IF0000,2020,10
630,0.7359598193715075,21702,IF0000,2020,10
645,0.7375686507347772,20211,IF0000,2020,10
660,0.745117393387671,20870,IF0000,2020,10
675,0.7550239234450177,20900,IF0000,2020,10
780,0.7799784310967669,21327,IF0000,2020,10
795,0.7196311574860779,20605,IF0000,2020,10
810,0.7179823311485112,21054,IF0000,2020,10
825,0.7070736086176259,19495,IF0000,2020,10
840,0.7627597229621955,22524,IF0000,2020,10
855,0.7408190966534396,21365,IF0000,2020,10
870,0.7153259949195993,21258,IF0000,2020,10
885,0.5853433694181654,23648,IF0000,2020,10
900,0.9090909090909091,11,IF0000,2020,10
690,1.3600000000002184,10,IF0000,2020,10
570,0.8978870126425753,22622,IH0000,2020,10
585,0.8558186451475895,18836,IH0000,2020,10
600,0.8342317739254363,16844,IH0000,2020,10
615,0.8261605088645275,14778,IH0000,2020,10
630,0.8446249905965558,13293,IH0000,2020,10
645,0.8584712634118008,12023,IH0000,2020,10
660,0.8280765869548036,12587,IH0000,2020,10
675,0.8436799623854034,12761,IH0000,2020,10
690,1.6399999999999637,5,IH0000,2020,10
780,0.8901264149384528,12103,IH0000,2020,10
795,0.83742557414234,10581,IH0000,2020,10
810,0.8256595709706711,12167,IH0000,2020,10
825,0.8258566179612148,11703,IH0000,2020,10
840,0.8600434310532051,12894,IH0000,2020,10
855,0.8412076187465558,12653,IH0000,2020,10
870,0.8175195007800455,12820,IH0000,2020,10
885,0.7183820473749941,14438,IH0000,2020,10
900,0.8571428571428571,7,IH0000,2020,10
570,0.8507963072937208,37046,IC0000,2020,11
585,0.8695208169678733,35644,IC0000,2020,11
600,0.8759887903389668,34613,IC0000,2020,11
615,0.8793303129407507,33329,IC0000,2020,11
630,0.8387289809108637,33422,IC0000,2020,11
645,0.8754106398627779,32632,IC0000,2020,11
660,0.8632252901161152,32487,IC0000,2020,11
675,0.8501962723704869,32353,IC0000,2020,11
690,0.999999999999786,17,IC0000,2020,11
780,0.860641870879521,32156,IC0000,2020,11
795,0.8365723577236347,30750,IC0000,2020,11
810,0.8242962017236537,31330,IC0000,2020,11
825,0.8455381814636171,30761,IC0000,2020,11
840,0.8218738381460661,32276,IC0000,2020,11
855,0.8250798022157533,31954,IC0000,2020,11
870,0.7495509256431435,32734,IC0000,2020,11
885,0.5992597379708331,34042,IC0000,2020,11
900,0.9529411764706845,17,IC0000,2020,11
570,0.6613954778749267,36045,IF0000,2020,11
585,0.680253912016574,33870,IF0000,2020,11
600,0.6746009157282742,32324,IF0000,2020,11
615,0.6661101185642554,30785,IF0000,2020,11
630,0.6513122377963727,30749,IF0000,2020,11
645,0.672289788559281,30505,IF0000,2020,11
660,0.681653252407996,30316,IF0000,2020,11
675,0.671402003328038,30649,IF0000,2020,11
690,0.8625000000000682,16,IF0000,2020,11
780,0.6796323431464159,30028,IF0000,2020,11
795,0.6456833386428804,28251,IF0000,2020,11
810,0.6465530781575597,29287,IF0000,2020,11
825,0.6456199833933178,28904,IF0000,2020,11
840,0.6678124896909166,30313,IF0000,2020,11
855,0.6455770277626813,29392,IF0000,2020,11
870,0.6213773125288272,30378,IF0000,2020,11
885,0.514660574815578,32393,IF0000,2020,11
900,0.6777777777777172,18,IF0000,2020,11
570,0.7043213229525125,33138,IH0000,2020,11
585,0.6846298751133691,28666,IH0000,2020,11
600,0.6614822074788755,26528,IH0000,2020,11
615,0.6500745279893976,24152,IH0000,2020,11
630,0.6277231777231742,24420,IH0000,2020,11
645,0.6272837685434165,23054,IH0000,2020,11
660,0.637951388888888,23040,IH0000,2020,11
675,0.650241708352604,23789,IH0000,2020,11
