method,t1,t2,r,x,n_peak,a_sum,a_ss,g_sum,g_ss,v_sum,v_ss,rhits
norm,10,20,1.5,120,1395196,5181773.625000005,1147562053.3281302,-50255.02500001157,402916140.0281255,2995200.3583333343,13779596.086458333,679854
norm,10,40,ALL,2,22263261,10724014.85000026,889473902.4375018,227188.37499991874,564824017.6918756,74596596.5,755411242.75,9364169
norm,10,40,1.5,2,3023513,1645908.500000038,348338805.8387504,38433.399999993315,157244496.51624992,12034778.0,155053327.0,1284151
norm,10,40,2.0,2,733283,440004.5250000088,195027177.4956254,-256.6250000013906,77827136.575625,2992991.5,43847332.75,314487
norm,10,40,3.0,2,26498,12538.90000000023,12431.075000000124,89.7000000000071,12277.945000000123,77015.5,1461923.75,11251
norm,10,40,ALL,5,22257951,17675896.800000224,2050880305.0612473,508096.57499989023,1301179324.1681263,74558034.99999999,645834924.2799999,9948013
norm,10,40,1.5,5,3023168,2608331.250000035,627388388.5687522,46705.09999998974,297928294.2662504,11369719.79999998,119497225.8000001,1369948
norm,10,40,2.0,5,733244,674432.8250000108,302321569.2706248,-6832.925000002459,111835289.67062515,2731793.799999997,31393936.03999998,336486
norm,10,40,3.0,5,26498,18665.950000000215,25330.797500000066,0.7499999998963176,25036.36750000005,65144.60000000005,878843.4800000002,12193
norm,10,40,ALL,10,22249101,25718791.100000154,3367053088.0462465,632022.8249998651,2119312126.9081254,74493019.10000014,591608442.2099998,10208411
norm,10,40,1.5,10,3022480,3693964.2000000277,921227448.1799995,42104.924999984476,452313255.98437494,10801313.399999995,98494378.69999982,1413094
norm,10,40,2.0,10,733148,923281.3500000102,386214026.5312502,-19386.575000003395,172777077.57812527,2512598.6999999983,23972135.810000017,346523
norm,10,40,3.0,10,26497,27842.02500000032,8365511.898124995,123.99999999975535,44232.0250000005,56943.999999999985,592480.9399999998,12437
norm,10,40,ALL,20,22231401,37090142.15000013,5092808745.378752,608747.3749998449,3063501891.638126,74366119.20000009,550282468.4950007,10388548
norm,10,40,1.5,20,3020801,5127542.050000023,1101492450.333752,66666.64999998333,389289399.07374954,10240654.000000002,81823504.175,1444550
norm,10,40,2.0,20,732795,1233936.5000000077,403858530.4250002,-11554.30000000426,150702089.67500022,2314547.749999996,18682899.36749998,354037
norm,10,40,3.0,20,26487,34922.100000000355,85710.00500000085,81.79999999963366,84662.51500000083,50822.30000000003,426642.85000000003,12720
norm,10,40,ALL,40,22196001,53335372.55000006,8327420281.341247,531466.8499998277,4876730945.157513,74127284.47500002,515737039.9031254,10493175
norm,10,40,1.5,40,3016971,7149520.900000013,1538084982.1662483,45856.29999997956,556974452.9662503,9657237.474999998,67979942.586875,1457515
norm,10,40,2.0,40,732299,1690127.350000002,511275433.92250025,-20052.45000000483,201627455.42249984,2122078.2750000004,14559083.384374991,356023
norm,10,40,3.0,40,26483,71413.50000000028,66683784.015000045,1519.8999999998578,155713.0150000013,45408.37499999997,301914.7418749995,12520
norm,10,40,ALL,80,22125201,76084021.80000004,13215303670.808762,382977.27499982406,7777920972.888137,73696809.63749991,484000698.91078216,10569421
norm,10,40,1.5,80,3010974,9907143.000000022,2212490866.25375,-57736.550000022515,1084974970.1837478,9074425.424999988,56058000.1653125,1470300
norm,10,40,2.0,80,731217,2287364.0000000047,611690614.4499998,-46750.20000000489,309852424.2699992,1944661.0124999958,11350401.856718749,360238
norm,10,40,3.0,80,26455,95702.00000000016,83474201.99499992,629.2999999995773,302224.26500000095,40513.07500000003,207630.1034374998,12851
norm,10,40,ALL,120,22054401,92871590.55000015,16886673650.913754,339438.9999998143,9986547107.81122,73259035.6999999,465235900.9630556,10565895
norm,10,40,1.5,120,2999489,12087217.82500001,2734174238.4468746,-169917.82500002277,1207541938.644376,8868984.666666672,51828691.6068056,1472093
norm,10,40,2.0,120,728811,2815884.3250000016,830885024.6681247,-68311.32500000512,306352758.9881246,1887366.5083333324,10282119.48479167,361196
norm,10,40,3.0,120,26346,109080.65000000024,83640899.10749994,963.5499999997855,443701.417500001,38865.124999999985,179602.78604166667,12735
norm,10,80,ALL,2,22192461,10664864.150000261,889373809.6675017,222985.02499991882,564724925.9443756,73934435.0,738897915.5,9333329
norm,10,80,1.5,2,3521737,1970156.4750000455,387535166.82687503,44263.349999992,208205278.22374997,15698176.0,209376559.5,1501870
norm,10,80,2.0,2,1308952,771274.0000000169,230750179.0037502,12106.549999997027,69804929.69375008,6277340.5,93158279.25,563099
norm,10,80,3.0,2,200578,158153.9750000023,152728789.4381247,-15066.075000000461,45158691.89812508,1051598.0,18638803.0,88081
norm,10,80,ALL,5,22187151,17577493.750000242,2050600094.6637514,500936.5249998896,1300901746.8606222,73904567.59999987,630872715.0399997,9915845
norm,10,80,1.5,5,3521198,3143969.100000045,763200713.9612497,49056.59999998748,385998827.5587496,14893259.00000001,164639597.95999992,1597344
norm,10,80,2.0,5,1308856,1221604.350000018,444733234.87375075,3431.749999995456,122659708.24375002,5821876.199999997,70108657.80000001,600037
norm,10,80,3.0,5,200569,237910.12500000297,234706963.87562498,-25472.325000000797,78815024.2356249,935966.9999999997,12853072.279999994,93792
norm,10,80,ALL,10,22178301,25578167.150000177,3366478114.573748,621698.124999865,2118742093.4781237,73852841.30000006,577729766.77,10175227
norm,10,80,1.5,10,3520190,4466611.02500003,1165246673.1393745,36672.19999998245,523303937.58375,14160375.200000018,137542800.04000005,1648769
norm,10,80,2.0,10,1308649,1703241.6250000137,609464902.3093754,-10181.250000006512,184428479.2037502,5413732.200000002,55916931.88000003,619739
