code,n,k_ticks,k_pts,h,s_sum,s_ss,s_n,hits
IM0000,1,6,1.2,20,-268695.600000039,550408440.8600001,901664,402715
IM0000,1,6,1.2,40,-246663.5000000392,810740967.2700001,900543,417630
IM0000,1,6,1.2,80,-290607.9000000377,1450169132.4699981,898767,426096
IM0000,1,6,1.2,120,-267929.5000000397,1919534372.2299984,896705,428717
IM0000,1,8,1.6,5,-171324.40000001245,181069773.64000016,375671,143040
IM0000,1,8,1.6,10,-193478.40000001277,284289658.62000084,375433,154105
IM0000,1,8,1.6,20,-199166.50000001272,419619307.3499998,375097,163443
IM0000,1,8,1.6,40,-191932.80000001262,643634173.8200014,374613,170450
IM0000,1,8,1.6,80,-219668.90000001265,1125005095.2700007,373833,174668
IM0000,1,8,1.6,120,-213462.10000001302,1553892072.2299993,372981,176299
IM0000,1,12,2.4,5,-92665.00000000224,154263494.37999973,76605,27755
IM0000,1,12,2.4,10,-124096.90000000194,245999828.12999967,76549,29938
IM0000,1,12,2.4,20,-138134.70000000185,326696508.4299995,76460,32037
IM0000,1,12,2.4,40,-131807.100000002,422396405.63,76362,33799
IM0000,1,12,2.4,80,-151150.70000000254,627853408.39,76202,34807
IM0000,1,12,2.4,120,-158322.9000000021,837405893.0899994,75995,35303
IM0000,1,16,3.2,5,-64012.100000000486,137196498.29000017,23023,8225
IM0000,1,16,3.2,10,-91307.00000000051,221451061.54000056,23004,8889
IM0000,1,16,3.2,20,-102871.90000000058,281733166.79000014,22973,9441
IM0000,1,16,3.2,40,-95790.60000000063,273659731.5799999,22951,9956
IM0000,1,16,3.2,80,-114484.50000000044,358271663.4899999,22906,10295
IM0000,1,16,3.2,120,-123808.9000000004,489140823.52999943,22843,10460
IM0000,1,20,4.0,5,-53512.200000000026,130002722.39999998,8467,2962
IM0000,1,20,4.0,10,-77472.60000000008,204477564.87999982,8455,3208
IM0000,1,20,4.0,20,-82848.80000000008,244895079.8400001,8444,3399
IM0000,1,20,4.0,40,-83329.19999999998,253864268.8200002,8440,3636
IM0000,1,20,4.0,80,-99551.00000000001,317201554.41999984,8416,3724
IM0000,1,20,4.0,120,-105755.19999999997,367591422.1200003,8389,3778
IM0000,2,0,0.0,5,965783.4999998697,1031569006.7499995,22325211,9689005
IM0000,2,0,0.0,10,1124582.399999858,1668945192.7399983,22316361,9830961
IM0000,2,0,0.0,20,1118614.1999998363,2493843791.520003,22298661,9892846
IM0000,2,0,0.0,40,1113809.7999998275,4106205022.239999,22263261,9910693
IM0000,2,0,0.0,80,1169902.4999998282,6610874239.330009,22192461,9879691
IM0000,2,0,0.0,120,1190303.999999828,8564912450.239997,22121661,9852672
IM0000,2,1,0.2,5,649491.5999995157,764662689.3600008,14070191,6813961
IM0000,2,1,0.2,10,753788.8999995014,1299875858.0099976,14064741,6901487
IM0000,2,1,0.2,20,744813.7999994874,2009289791.4800005,14054352,6943755
IM0000,2,1,0.2,40,723598.2999994812,3249628374.270003,14034484,6963243
IM0000,2,1,0.2,80,801215.6999994827,5134125271.190008,13996812,6947849
IM0000,2,1,0.2,120,809860.6999994841,6675940846.250012,13958943,6931902
IM0000,2,2,0.4,5,361573.3999997123,617523335.2399998,9291796,4472591
IM0000,2,2,0.4,10,418314.5999997007,1005890319.0799996,9288250,4528120
IM0000,2,2,0.4,20,403368.5999996913,1534556514.3799987,9281981,4559256
IM0000,2,2,0.4,40,409418.1999996869,2509196614.4800024,9270358,4581461
IM0000,2,2,0.4,80,445341.2999996866,4034222061.590005,9249149,4578815
IM0000,2,2,0.4,120,434246.69999968784,5171574231.329995,9227434,4569524
IM0000,2,3,0.6,5,235358.69999981258,518245646.73000014,6359828,3048674
IM0000,2,3,0.6,10,258055.7999998064,852518477.5400019,6357410,3085074
IM0000,2,3,0.6,20,250217.49999980026,1236463881.4700007,6353369,3108677
IM0000,2,3,0.6,40,280428.59999979736,2088283204.0599985,6346112,3128256
IM0000,2,3,0.6,80,301988.89999979717,3424941307.270005,6333168,3130098
IM0000,2,3,0.6,120,314822.99999979726,4271391756.779996,6319631,3124895
IM0000,2,4,0.8,5,121728.19999985876,468191761.85999995,4146206,1980539
IM0000,2,4,0.8,10,118140.49999985575,767048441.9300003,4144633,2004091
IM0000,2,4,0.8,20,115765.79999985201,1110880912.6000006,4142082,2020738
IM0000,2,4,0.8,40,152755.8999998494,1808715258.6900003,4137661,2036287
IM0000,2,4,0.8,80,158405.89999984973,2991130099.2099934,4130133,2039622
IM0000,2,4,0.8,120,154933.19999985007,3637578786.7399974,4121875,2036857
IM0000,2,6,1.2,5,12168.099999942515,338882088.0099997,1697901,802158
IM0000,2,6,1.2,10,-23067.200000059143,617867217.68,1697252,812503
IM0000,2,6,1.2,20,-8974.900000060896,838787822.6900022,1696280,821941
IM0000,2,6,1.2,40,23910.69999993829,1278323181.1099985,1694650,831190
IM0000,2,6,1.2,80,-24696.00000006127,2182966097.460003,1692062,833523
IM0000,2,6,1.2,120,-5961.500000060638,2682922608.1499977,1688868,833102
IM0000,2,8,1.6,5,-29259.20000002229,269061971.49999964,826570,387961
IM0000,2,8,1.6,10,-73281.1000000241,505101704.43000054,826247,392147
IM0000,2,8,1.6,20,-61383.80000002463,683881057.3799996,825786,398072
IM0000,2,8,1.6,40,-30982.100000024635,962973285.9699991,825071,404132
IM0000,2,8,1.6,80,-64217.2000000245,1637474719.5599988,823886,405081
IM0000,2,8,1.6,120,-51390.40000002406,2073804058.6999996,822337,405319
IM0000,2,12,2.4,5,-49737.30000000532,223078612.19000068,198474,93880
IM0000,2,12,2.4,10,-110965.90000000567,403000602.090001,198399,93527
IM0000,2,12,2.4,20,-109569.20000000545,500835173.3599999,198272,95120
IM0000,2,12,2.4,40,-99915.00000000573,677014759.8000005,198117,96940
IM0000,2,12,2.4,80,-121811.40000000555,1064969083.6400001,197843,96921
IM0000,2,12,2.4,120,-154682.40000000544,1353195671.7999969,197459,97000
IM0000,2,16,3.2,5,-54820.000000001506,203874347.14000013,60697,29445
IM0000,2,16,3.2,10,-112313.20000000189,367655568.57999986,60670,28722
