n,k_ticks,k_pts,x,s_sum,s_ss,s_n,hits
8,8,1.6,10,-53097.5250000785,1259801073.8368747,4223057,2073540
8,8,1.6,20,-73220.52500008259,1532486202.8868756,4221506,2067952
8,8,1.6,40,-57556.950000086945,2249215577.0500026,4218607,2078714
8,8,1.6,80,-59330.22500008864,3664948236.1006255,4212956,2075292
8,8,1.6,120,-12012.725000090613,4690764161.12687,4205689,2070564
8,16,3.2,2,-43273.60000001236,280691432.34499973,834561,422710
8,16,3.2,5,-160565.8500000132,682669974.4437498,834480,414706
8,16,3.2,10,-271730.8750000143,1072006226.4506272,834356,407103
8,16,3.2,20,-260906.80000001515,1205615701.6612504,834177,406961
8,16,3.2,40,-227056.6000000158,1517768627.1162512,833836,412853
8,16,3.2,80,-293608.32500001654,2406421535.470624,833206,411171
8,16,3.2,120,-253990.3000000163,2794273339.1425014,831930,411459
8,30,6.0,2,-69697.17500000088,257177145.32812524,97745,52065
8,30,6.0,5,-190306.82500000118,617686849.5893756,97736,50172
8,30,6.0,10,-294068.80000000144,950215012.3550005,97725,48412
8,30,6.0,20,-259997.45000000077,925602540.0049995,97707,48581
8,30,6.0,40,-283008.27500000136,1117481771.704375,97683,49440
8,30,6.0,80,-385634.0000000007,1769441441.2174997,97644,48688
8,30,6.0,120,-337837.8750000015,1805182357.9843724,97498,48537
8,45,9.0,2,-79230.3250000001,256903914.13812506,19168,10858
8,45,9.0,5,-192331.57500000027,600318788.5493748,19164,10459
8,45,9.0,10,-286697.2250000002,887183797.5368754,19163,9700
8,45,9.0,20,-256418.2500000001,838433828.2749997,19158,9803
8,45,9.0,40,-291876.9000000001,980223673.2225009,19154,9811
8,45,9.0,80,-391987.45,1440275665.6049974,19150,9681
8,45,9.0,120,-360090.02500000026,1368208985.9918754,19116,9474
8,90,18.0,2,-78141.07499999998,231822388.43062505,923,434
8,90,18.0,5,-181135.5750000001,541693288.6356251,923,420
8,90,18.0,10,-260226.67499999996,784838697.190625,923,379
8,90,18.0,20,-242523.60000000006,735220989.5212499,923,377
8,90,18.0,40,-285461.97500000015,857832587.0006255,921,391
8,90,18.0,80,-353058.325,1059392922.9731246,919,367
8,90,18.0,120,-335083.575,1002706804.115625,919,356
